# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Pohang15	252	33.3351	3.7444	0.0134	0.9649	0.0088	0.0007	0.0497	0.0171	0.0009	0.9503	0.0171	0.0009	0.0500	0.0145	0.0008	0.9500	0.0145	0.0008	0.0508	0.0149	0.0008	0.0083	37.3521	0.0134
Geoje15	539	36.2914	3.8486	0.0136	0.9648	0.0087	0.0006	0.0509	0.0176	0.0009	0.9491	0.0176	0.0009	0.0505	0.0143	0.0008	0.9495	0.0143	0.0008	0.0512	0.0147	0.0008	0.0076	36.4068	0.0136
Namhae15	172	18.6536	1.1417	0.0074	0.9648	0.0088	0.0007	0.0507	0.0181	0.0009	0.9493	0.0181	0.0009	0.0504	0.0144	0.0008	0.9496	0.0144	0.0008	0.0518	0.0152	0.0009	0.0072	38.3170	0.0074
YellowSea16	358	29.0790	3.2284	0.0124	0.9638	0.0088	0.0006	0.0509	0.0167	0.0009	0.9491	0.0167	0.0009	0.0522	0.0145	0.0008	0.9478	0.0145	0.0008	0.0532	0.0150	0.0008	0.0134	36.4853	0.0124
Jukbyeon07	2058	35.4200	5.8687	0.0168	0.9616	0.0083	0.0006	0.0513	0.0138	0.0008	0.9487	0.0138	0.0008	0.0573	0.0139	0.0008	0.9427	0.0139	0.0008	0.0582	0.0143	0.0008	0.0363	30.0605	0.0168
JinhaeBay07	1014	44.7157	30.1369	0.0382	0.9644	0.0087	0.0006	0.0453	0.0136	0.0008	0.9547	0.0136	0.0008	0.0513	0.0143	0.0008	0.9487	0.0143	0.0008	0.0519	0.0146	0.0008	0.0308	35.1594	0.0382
JinhaeBay08	144	48.8499	27.4988	0.0363	0.9652	0.0086	0.0006	0.0450	0.0140	0.0008	0.9550	0.0140	0.0008	0.0500	0.0144	0.0008	0.9500	0.0144	0.0008	0.0505	0.0147	0.0008	0.0261	37.3855	0.0363
Boryeong07	260	23.2425	2.1376	0.0101	0.9639	0.0088	0.0006	0.0502	0.0168	0.0009	0.9498	0.0168	0.0009	0.0520	0.0145	0.0008	0.9480	0.0145	0.0008	0.0532	0.0152	0.0009	0.0154	37.1711	0.0101
Geoje14	2907	33.2872	4.6285	0.0149	0.9631	0.0086	0.0006	0.0508	0.0153	0.0009	0.9492	0.0153	0.0009	0.0539	0.0141	0.0008	0.9461	0.0141	0.0008	0.0547	0.0145	0.0008	0.0209	30.9531	0.0149
Kodiak03	249	44.4585	21.2107	0.0330	0.9698	0.0074	0.0006	0.0441	0.0151	0.0009	0.9559	0.0151	0.0009	0.0437	0.0121	0.0008	0.9563	0.0121	0.0008	0.0442	0.0124	0.0008	0.0087	35.7167	0.0330
Adak06	342	43.0263	28.9326	0.0387	0.9682	0.0080	0.0006	0.0484	0.0177	0.0010	0.9516	0.0177	0.0010	0.0457	0.0128	0.0008	0.9543	0.0128	0.0008	0.0463	0.0131	0.0008	0.0015	35.4441	0.0387
WashCoast05	280	43.1729	29.4892	0.0391	0.9707	0.0073	0.0006	0.0420	0.0143	0.0009	0.9580	0.0143	0.0009	0.0423	0.0119	0.0008	0.9577	0.0119	0.0008	0.0428	0.0122	0.0008	0.0115	36.6225	0.0391
HecStrait04	210	45.0632	18.5379	0.0308	0.9704	0.0073	0.0006	0.0429	0.0148	0.0009	0.9571	0.0148	0.0009	0.0428	0.0120	0.0008	0.9572	0.0120	0.0008	0.0433	0.0123	0.0008	0.0095	36.5683	0.0308
SalishSea12_13	170	39.0262	17.9198	0.0303	0.9702	0.0075	0.0006	0.0442	0.0159	0.0009	0.9558	0.0159	0.0009	0.0429	0.0123	0.0008	0.9571	0.0123	0.0008	0.0435	0.0126	0.0008	0.0047	37.8829	0.0303
JuandeFuca12	228	21.5292	4.7595	0.0157	0.9706	0.0074	0.0006	0.0423	0.0149	0.0009	0.9577	0.0149	0.0009	0.0424	0.0120	0.0008	0.9576	0.0120	0.0008	0.0434	0.0126	0.0008	0.0087	38.5834	0.0157
PWSound12	241	45.7683	16.2470	0.0288	0.9686	0.0078	0.0006	0.0462	0.0164	0.0009	0.9538	0.0164	0.0009	0.0452	0.0126	0.0008	0.9548	0.0126	0.0008	0.0457	0.0129	0.0008	0.0066	35.8872	0.0288
UnimakPass03	310	44.7253	19.3738	0.0315	0.9679	0.0079	0.0006	0.0484	0.0176	0.0010	0.9516	0.0176	0.0010	0.0462	0.0128	0.0008	0.9538	0.0128	0.0008	0.0468	0.0131	0.0008	0.0047	35.0423	0.0315
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Pohang15	252	2286174.0000	20875.0000	5008.0000	0.2191	33.3527	3.9347	0.0013	0.9997	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0001	48.8939	0.0013
Geoje15	539	2284425.0000	20860.0000	5403.0000	0.2365	36.3286	3.9689	0.0013	0.9997	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0001	48.8853	0.0013
Namhae15	172	2285069.0000	20869.0000	4593.0000	0.2010	18.6673	1.1628	0.0007	0.9997	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0001	48.9026	0.0007
YellowSea16	358	2290222.0000	20936.0000	5416.0000	0.2365	29.1184	3.2493	0.0012	0.9997	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0001	48.8860	0.0012
Jukbyeon07	2058	2283963.0000	20890.0000	8220.0000	0.3599	35.4668	5.9094	0.0016	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0003	48.8286	0.0016
JinhaeBay07	1014	2264541.0000	20680.0000	5981.0000	0.2641	44.9929	28.9726	0.0036	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0003	48.8747	0.0036
JinhaeBay08	144	2280463.0000	20841.0000	5067.0000	0.2222	49.1176	26.3219	0.0034	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0002	48.8947	0.0034
Boryeong07	260	2289026.0000	20923.0000	5131.0000	0.2242	23.2655	2.1884	0.0010	0.9997	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0001	48.8924	0.0010
Geoje14	2907	2289944.0000	20929.0000	7797.0000	0.3405	33.3409	4.7200	0.0014	0.9997	0.0001	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.9995	0.0002	0.0000	0.0005	0.0002	0.0000	0.0002	48.8361	0.0014
Kodiak03	249	2130761.0000	19531.0000	5337.0000	0.2505	44.7906	19.6073	0.0030	0.9997	0.0001	0.0000	0.0004	0.0002	0.0000	0.9996	0.0002	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0001	48.8786	0.0030
Adak06	342	2107657.0000	19286.0000	5348.0000	0.2537	43.5020	26.6006	0.0036	0.9997	0.0001	0.0000	0.0004	0.0002	0.0000	0.9996	0.0002	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0000	48.8760	0.0036
WashCoast05	280	2108410.0000	19309.0000	4932.0000	0.2339	43.5605	27.6793	0.0036	0.9997	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0001	48.8870	0.0036
HecStrait04	210	2132613.0000	19567.0000	5011.0000	0.2350	45.3673	16.8868	0.0028	0.9997	0.0001	0.0000	0.0004	0.0002	0.0000	0.9996	0.0002	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0001	48.8863	0.0028
SalishSea12_13	170	2125164.0000	19486.0000	4448.0000	0.2093	39.3303	16.4538	0.0028	0.9997	0.0001	0.0000	0.0004	0.0002	0.0000	0.9996	0.0002	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0000	48.8982	0.0028
JuandeFuca12	228	2116414.0000	19396.0000	4169.0000	0.1970	21.6583	4.4088	0.0014	0.9997	0.0001	0.0000	0.0004	0.0002	0.0000	0.9996	0.0002	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0001	48.9048	0.0014
PWSound12	241	2132792.0000	19560.0000	5269.0000	0.2470	46.0197	14.6213	0.0026	0.9997	0.0001	0.0000	0.0004	0.0002	0.0000	0.9996	0.0002	0.0000	0.0004	0.0001	0.0000	0.9996	0.0001	0.0000	0.0004	0.0001	0.0000	0.0001	48.8800	0.0026
