sample	n_reads	population	group
KOD03_035	2644952	Kodiak03	Alaska
KOD03_051	1353028	Kodiak03	Alaska
KOD03_052	3604717	Kodiak03	Alaska
KOD03_053	757340	Kodiak03	Alaska
KOD03_054	1783756	Kodiak03	Alaska
KOD03_055	3668576	Kodiak03	Alaska
KOD03_056	1196107	Kodiak03	Alaska
KOD03_057	9225135	Kodiak03	Alaska
KOD03_058	1736725	Kodiak03	Alaska
KOD03_059	1153457	Kodiak03	Alaska
KOD03_060	649419	Kodiak03	Alaska
KOD03_061	5100042	Kodiak03	Alaska
KOD03_062	1205638	Kodiak03	Alaska
KOD03_063	2796354	Kodiak03	Alaska
KOD03_064	8943131	Kodiak03	Alaska
KOD03_065	3613026	Kodiak03	Alaska
KOD03_066	5240244	Kodiak03	Alaska
KOD03_067	6279450	Kodiak03	Alaska
KOD03_068	1158489	Kodiak03	Alaska
KOD03_069	2271243	Kodiak03	Alaska
KOD03_070	1027848	Kodiak03	Alaska
KOD03_071	4874649	Kodiak03	Alaska
KOD03_072	893099	Kodiak03	Alaska
KOD03_073	818087	Kodiak03	Alaska
KOD03_074	2681786	Kodiak03	Alaska
KOD03_075	1064316	Kodiak03	Alaska
KOD03_076	2305672	Kodiak03	Alaska
KOD03_077	1722277	Kodiak03	Alaska
KOD03_078	5446567	Kodiak03	Alaska
KOD03_079	1019426	Kodiak03	Alaska
KOD03_080	938589	Kodiak03	Alaska
KOD03_081	4371260	Kodiak03	Alaska
KOD03_082	3611611	Kodiak03	Alaska
KOD03_083	1744057	Kodiak03	Alaska
KOD03_084	3567750	Kodiak03	Alaska
KOD03_085	2731353	Kodiak03	Alaska
KOD03_086	925607	Kodiak03	Alaska
KOD03_087	848279	Kodiak03	Alaska
KOD03_088	645523	Kodiak03	Alaska
KOD03_089	3152894	Kodiak03	Alaska
KOD03_090	1947591	Kodiak03	Alaska
KOD03_091	793543	Kodiak03	Alaska
KOD03_092	269413	Kodiak03	Alaska
KOD03_093	1999342	Kodiak03	Alaska
KOD03_094	872727	Kodiak03	Alaska
KOD03_095	1145279	Kodiak03	Alaska
KOD03_096	2500238	Kodiak03	Alaska
KOD03_097	1222045	Kodiak03	Alaska
AD06_001	3940144	Adak06	Alaska
AD06_002	585013	Adak06	Alaska
AD06_003	1411980	Adak06	Alaska
AD06_004	1803978	Adak06	Alaska
AD06_005	654749	Adak06	Alaska
AD06_006	1595556	Adak06	Alaska
AD06_007	1643190	Adak06	Alaska
AD06_008	3276393	Adak06	Alaska
AD06_009	979137	Adak06	Alaska
AD06_010	807241	Adak06	Alaska
AD06_011	2869335	Adak06	Alaska
AD06_012	966674	Adak06	Alaska
AD06_013	1315203	Adak06	Alaska
AD06_014	1261075	Adak06	Alaska
AD06_015	570114	Adak06	Alaska
AD06_016	1195799	Adak06	Alaska
AD06_017	4517040	Adak06	Alaska
AD06_018	2994936	Adak06	Alaska
AD06_019	1372215	Adak06	Alaska
AD06_020	1944788	Adak06	Alaska
AD06_021	1282219	Adak06	Alaska
AD06_022	424691	Adak06	Alaska
AD06_023	1556284	Adak06	Alaska
AD06_024	487998	Adak06	Alaska
AD06_025	1946519	Adak06	Alaska
AD06_026	920444	Adak06	Alaska
AD06_027	989869	Adak06	Alaska
AD06_028	1687616	Adak06	Alaska
AD06_029	2624997	Adak06	Alaska
AD06_030	2681222	Adak06	Alaska
AD06_031	351386	Adak06	Alaska
AD06_032	1595120	Adak06	Alaska
AD06_033	823197	Adak06	Alaska
AD06_034	885796	Adak06	Alaska
AD06_035	2766599	Adak06	Alaska
AD06_036	3015665	Adak06	Alaska
AD06_037	2620433	Adak06	Alaska
AD06_038	1203097	Adak06	Alaska
AD06_039	1676390	Adak06	Alaska
AD06_040	2197139	Adak06	Alaska
AD06_041	2710989	Adak06	Alaska
AD06_042	1620324	Adak06	Alaska
AD06_043	764977	Adak06	Alaska
AD06_044	2814614	Adak06	Alaska
AD06_045	1523559	Adak06	Alaska
AD06_046	1549366	Adak06	Alaska
AD06_047	1424480	Adak06	Alaska
AD06_048	3103591	Adak06	Alaska
WC05_001	1915673	WashCoast05	Alaska
WC05_002	1442572	WashCoast05	Alaska
WC05_003	2225053	WashCoast05	Alaska
WC05_004	817391	WashCoast05	Alaska
WC05_005	1318217	WashCoast05	Alaska
WC05_006	2292565	WashCoast05	Alaska
WC05_007	730127	WashCoast05	Alaska
WC05_008	7072930	WashCoast05	Alaska
WC05_009	1816634	WashCoast05	Alaska
WC05_010	1273154	WashCoast05	Alaska
WC05_011	686236	WashCoast05	Alaska
WC05_012	2742761	WashCoast05	Alaska
WC05_013	692440	WashCoast05	Alaska
WC05_014	2494551	WashCoast05	Alaska
WC05_015	7716990	WashCoast05	Alaska
WC05_016	4403872	WashCoast05	Alaska
WC05_017	3082734	WashCoast05	Alaska
WC05_018	5636252	WashCoast05	Alaska
WC05_019	1128481	WashCoast05	Alaska
WC05_020	2006784	WashCoast05	Alaska
WC05_021	1344284	WashCoast05	Alaska
WC05_022	4629544	WashCoast05	Alaska
WC05_023	1789632	WashCoast05	Alaska
WC05_024	804264	WashCoast05	Alaska
WC05_025	2883685	WashCoast05	Alaska
WC05_026	1312224	WashCoast05	Alaska
WC05_027	1386324	WashCoast05	Alaska
WC05_028	969693	WashCoast05	Alaska
WC05_029	5256782	WashCoast05	Alaska
WC05_030	1029364	WashCoast05	Alaska
WC05_031	1581552	WashCoast05	Alaska
WC05_032	2964538	WashCoast05	Alaska
WC05_033	1886664	WashCoast05	Alaska
WC05_034	1500687	WashCoast05	Alaska
WC05_035	2752021	WashCoast05	Alaska
WC05_036	1170272	WashCoast05	Alaska
WC05_037	1825597	WashCoast05	Alaska
WC05_038	363000	WashCoast05	Alaska
WC05_039	1127400	WashCoast05	Alaska
WC05_040	5216756	WashCoast05	Alaska
WC05_041	1645142	WashCoast05	Alaska
WC05_042	842212	WashCoast05	Alaska
WC05_043	361300	WashCoast05	Alaska
WC05_044	1840610	WashCoast05	Alaska
WC05_045	693867	WashCoast05	Alaska
WC05_046	1014209	WashCoast05	Alaska
WC05_047	1668812	WashCoast05	Alaska
WC05_048	1333334	WashCoast05	Alaska
HS04_001	2608015	HecStrait04	Alaska
HS04_002	1368395	HecStrait04	Alaska
HS04_003	2848557	HecStrait04	Alaska
HS04_004	802734	HecStrait04	Alaska
HS04_005	2052987	HecStrait04	Alaska
HS04_006	4684786	HecStrait04	Alaska
HS04_007	1068638	HecStrait04	Alaska
HS04_008	5059463	HecStrait04	Alaska
HS04_009	1820726	HecStrait04	Alaska
HS04_010	810548	HecStrait04	Alaska
