"sample"	"n_loci"	"population"	"group"
"1"	"AD06_001"	23948	"Adak06"	"Alaska"
"2"	"AD06_002"	17531	"Adak06"	"Alaska"
"3"	"AD06_003"	23285	"Adak06"	"Alaska"
"4"	"AD06_004"	23355	"Adak06"	"Alaska"
"5"	"AD06_005"	19933	"Adak06"	"Alaska"
"6"	"AD06_006"	23402	"Adak06"	"Alaska"
"7"	"AD06_007"	23294	"Adak06"	"Alaska"
"8"	"AD06_008"	23661	"Adak06"	"Alaska"
"9"	"AD06_009"	22003	"Adak06"	"Alaska"
"10"	"AD06_010"	21510	"Adak06"	"Alaska"
"11"	"AD06_011"	23993	"Adak06"	"Alaska"
"12"	"AD06_012"	20653	"Adak06"	"Alaska"
"13"	"AD06_013"	22444	"Adak06"	"Alaska"
"14"	"AD06_014"	19876	"Adak06"	"Alaska"
"15"	"AD06_015"	20422	"Adak06"	"Alaska"
"16"	"AD06_016"	19020	"Adak06"	"Alaska"
"17"	"AD06_017"	23970	"Adak06"	"Alaska"
"18"	"AD06_018"	23567	"Adak06"	"Alaska"
"19"	"AD06_019"	21968	"Adak06"	"Alaska"
"20"	"AD06_020"	23493	"Adak06"	"Alaska"
"21"	"AD06_021"	23022	"Adak06"	"Alaska"
"22"	"AD06_022"	18113	"Adak06"	"Alaska"
"23"	"AD06_023"	22734	"Adak06"	"Alaska"
"24"	"AD06_024"	19078	"Adak06"	"Alaska"
"25"	"AD06_025"	23445	"Adak06"	"Alaska"
"26"	"AD06_026"	21037	"Adak06"	"Alaska"
"27"	"AD06_027"	20079	"Adak06"	"Alaska"
"28"	"AD06_028"	18480	"Adak06"	"Alaska"
"29"	"AD06_029"	23524	"Adak06"	"Alaska"
"30"	"AD06_030"	23475	"Adak06"	"Alaska"
"32"	"AD06_032"	23178	"Adak06"	"Alaska"
"33"	"AD06_033"	20116	"Adak06"	"Alaska"
"35"	"AD06_035"	23404	"Adak06"	"Alaska"
"36"	"AD06_036"	23729	"Adak06"	"Alaska"
"37"	"AD06_037"	21369	"Adak06"	"Alaska"
"38"	"AD06_038"	21879	"Adak06"	"Alaska"
"39"	"AD06_039"	19442	"Adak06"	"Alaska"
"40"	"AD06_040"	23289	"Adak06"	"Alaska"
"41"	"AD06_041"	23435	"Adak06"	"Alaska"
"42"	"AD06_042"	22404	"Adak06"	"Alaska"
"43"	"AD06_043"	19552	"Adak06"	"Alaska"
"44"	"AD06_044"	23834	"Adak06"	"Alaska"
"45"	"AD06_045"	23313	"Adak06"	"Alaska"
"46"	"AD06_046"	23094	"Adak06"	"Alaska"
"47"	"AD06_047"	23247	"Adak06"	"Alaska"
"48"	"AD06_048"	23655	"Adak06"	"Alaska"
"49"	"BOR07_01_2_92bp"	25107	"Boryeong07"	"Korea"
"50"	"BOR07_01_92bp"	22021	"Boryeong07"	"Korea"
