sample	n_loci	population	group
GEO012315_18_92bp	9382	Geoje15	Korea
JB021108_40_92bp	3496	JinhaeBay08	Korea
PO010715_10.1_92bp	9381	Pohang15	Korea
HS04_043	3335	HecStrait04	Alaska
JB121807_35_92bp	3287	JinhaeBay07	Korea
GE011215_14.1_92bp	9387	Geoje15	Korea
JUK07_30_92bp	9477	Jukbyeon07	Korea
GE012315_20.1_92bp	9385	Geoje15	Korea
GE011215_19_92bp	9446	Geoje15	Korea
GE012315_22.1_92bp	9041	Geoje15	Korea
JB021108_27_c_92bp	792	JinhaeBay08	Korea
PWS12_041	8639	PWSound12	Alaska
PS12_032	8986	JuandeFuca12	Alaska
UP03_031	853	UnimakPass03	Alaska
JUK07_01_92bp	8837	Jukbyeon07	Korea
JB121807_38.1_92bp	8815	JinhaeBay07	Korea
JUK07_31_92bp	9427	Jukbyeon07	Korea
GEO020414_24_300_92bp	9426	Geoje14	Korea
PS12_047	8800	JuandeFuca12	Alaska
PO010715_12_92bp	9412	Pohang15	Korea
PO031715_13.1_92bp	9362	Pohang15	Korea
JUK07_26_92bp	9281	Jukbyeon07	Korea
GS13_006	8844	SalishSea12_13	Alaska
AD06_048	8944	Adak06	Alaska
JB121807_08_rep_92bp	9273	JinhaeBay07	Korea
YS_121316_21_92bp	9494	YellowSea16	Korea
PS12_041	8424	JuandeFuca12	Alaska
UP03_039	2876	UnimakPass03	Alaska
UP03_045	8638	UnimakPass03	Alaska
WC05_048	7610	WashCoast05	Alaska
UP03_044	9060	UnimakPass03	Alaska
WC05_046	4932	WashCoast05	Alaska
WC05_047	7852	WashCoast05	Alaska
WC05_044	7197	WashCoast05	Alaska
WC05_045	4219	WashCoast05	Alaska
WC05_042	4000	WashCoast05	Alaska
JB121807_19.1_92bp	9249	JinhaeBay07	Korea
JB121807_32.1_92bp	8810	JinhaeBay07	Korea
WC05_041	8354	WashCoast05	Alaska
UP03_046	8823	UnimakPass03	Alaska
GEO020414_25_300_92bp	8359	Geoje14	Korea
PWS12_134	8232	PWSound12	Alaska
PWS12_133	6365	PWSound12	Alaska
PWS12_132	7445	PWSound12	Alaska
