sample	n_loci	population	group
GEO012315_18_92bp	24640	Geoje15	Korea
JB021108_40_92bp	12569	JinhaeBay08	Korea
PO010715_10.1_92bp	24623	Pohang15	Korea
HS04_043	19299	HecStrait04	Alaska
JB121807_35_92bp	12727	JinhaeBay07	Korea
GE011215_14.1_92bp	24700	Geoje15	Korea
JUK07_30_92bp	24672	Jukbyeon07	Korea
GE012315_20.1_92bp	24746	Geoje15	Korea
GE011215_19_92bp	24822	Geoje15	Korea
GE012315_22.1_92bp	24209	Geoje15	Korea
JB021108_27_c_92bp	2687	JinhaeBay08	Korea
PWS12_041	22968	PWSound12	Alaska
PS12_032	23439	JuandeFuca12	Alaska
UP03_031	14291	UnimakPass03	Alaska
JUK07_01_92bp	23300	Jukbyeon07	Korea
JB121807_38.1_92bp	24029	JinhaeBay07	Korea
JUK07_31_92bp	24801	Jukbyeon07	Korea
GEO020414_24_300_92bp	24859	Geoje14	Korea
PS12_047	23081	JuandeFuca12	Alaska
PO010715_12_92bp	24830	Pohang15	Korea
PO031715_13.1_92bp	24755	Pohang15	Korea
JUK07_26_92bp	24409	Jukbyeon07	Korea
GS13_006	22982	SalishSea12_13	Alaska
AD06_048	23338	Adak06	Alaska
JB121807_08_rep_92bp	24707	JinhaeBay07	Korea
YS_121316_21_92bp	24862	YellowSea16	Korea
PS12_041	22961	JuandeFuca12	Alaska
UP03_039	16145	UnimakPass03	Alaska
UP03_045	23011	UnimakPass03	Alaska
WC05_048	22274	WashCoast05	Alaska
UP03_044	23459	UnimakPass03	Alaska
WC05_046	18692	WashCoast05	Alaska
WC05_047	22512	WashCoast05	Alaska
WC05_044	21521	WashCoast05	Alaska
WC05_045	19304	WashCoast05	Alaska
WC05_042	17005	WashCoast05	Alaska
JB121807_19.1_92bp	24618	JinhaeBay07	Korea
JB121807_32.1_92bp	23987	JinhaeBay07	Korea
WC05_041	22612	WashCoast05	Alaska
UP03_046	23165	UnimakPass03	Alaska
GEO020414_25_300_92bp	22519	Geoje14	Korea
PWS12_134	22598	PWSound12	Alaska
PWS12_133	21077	PWSound12	Alaska
PWS12_132	21931	PWSound12	Alaska
PWS12_131	22903	PWSound12	Alaska
UP03_040	22928	UnimakPass03	Alaska
UP03_043	22532	UnimakPass03	Alaska
BOR07_09_92bp	24728	Boryeong07	Korea
UP03_042	21876	UnimakPass03	Alaska
HS04_033	23016	HecStrait04	Alaska
HS04_032	23542	HecStrait04	Alaska
HS04_031	22633	HecStrait04	Alaska
HS04_030	20925	HecStrait04	Alaska
HS04_037	22936	HecStrait04	Alaska
HS04_036	21527	HecStrait04	Alaska
HS04_035	23018	HecStrait04	Alaska
HS04_034	21921	HecStrait04	Alaska
HS04_039	17837	HecStrait04	Alaska
HS04_038	18986	HecStrait04	Alaska
GEO012315_21_92bp	24678	Geoje15	Korea
BOR07_08.1_92bp	24754	Boryeong07	Korea
GEO020414_10_92bp	21501	Geoje14	Korea
PS12_029	23159	JuandeFuca12	Alaska
PS12_028	22245	JuandeFuca12	Alaska
PS12_021	22445	SalishSea12_13	Alaska
JB021108_39_92bp	22347	JinhaeBay08	Korea
PS12_023	19039	SalishSea12_13	Alaska
PS12_022	23312	SalishSea12_13	Alaska
PS12_025	23096	SalishSea12_13	Alaska
PS12_024	23040	SalishSea12_13	Alaska
JB021108_31.1_92bp	15228	JinhaeBay08	Korea
GE011215_22_92bp	24860	Geoje15	Korea
AD06_014	19003	Adak06	Alaska
GE011215_24.1_92bp	24568	Geoje15	Korea
YS_121316_01_92bp	24808	YellowSea16	Korea
KOD03_058	22538	Kodiak03	Alaska
KOD03_059	20579	Kodiak03	Alaska
KOD03_056	22314	Kodiak03	Alaska
KOD03_057	23759	Kodiak03	Alaska
KOD03_054	23086	Kodiak03	Alaska
KOD03_055	23471	Kodiak03	Alaska
KOD03_052	23101	Kodiak03	Alaska
KOD03_053	20139	Kodiak03	Alaska
