sample	num_loci

PO010715_02	24560
PO010715_02_rep	24573
PO010715_04	24360
PO010715_06.1	23109
PO010715_08.1	23957
PO010715_10.1	24105
PO010715_11.1	24011
PO010715_12	24302
PO010715_17.1	23730
PO010715_19.1	23859
PO010715_26	24587
PO010715_27.1	23625
PO010715_28.1	24173
PO010715_29.1	23781
PO020515_01	24127
PO020515_03.1	23931
PO020515_05.1	23351
PO020515_06	24515
PO020515_08.1	23715
PO020515_09.1	23064
PO020515_10.1	23486
PO020515_14.1	24029
PO020515_15.1	24227
PO020515_16.1	23977
PO020515_17.1	24144
PO031715_03	24168
PO031715_04	24262
PO031715_13.1	24131
PO031715_20.1	23256
PO031715_23	24265
PO031715_24	24188
PO010715_26_2	24452
PO010715_07	24255
PO010715_07_rep	24289
GE011215_01.1	24153
GE011215_07.1	23355
GE011215_08.1	22827
GE011215_09.1	23909
GE011215_10.1	23852
GE011215_14.1	24108
GE011215_15.1	24065
GE011215_16.1	23528
GE011215_18	24474
GE011215_19	24398
GE011215_20.1	24081
GE011215_21.1	24001
GE011215_22	24469
GE011215_24.1	23904
GE011215_28	24384
GE011215_29.1	22434
GE011215_30.1	24309
GE012315_01.1	22964
GE012315_03.1	23370
GE012315_04.1	23579
GE012315_05.1	23753
GE012315_06.1	23972
GE012315_08.1	23953
GE012315_09.1	24292
GE012315_10.1	23857
GE012315_11.1	24345
GE012315_17.1	24005
GE012315_20.1	24097
GE012315_22.1	23135
GEO012315_02	24167
GEO012315_12	24482
GEO012315_18	24008
GEO012315_21	24062
GE012315_11_2	24866
GE012315_09_2	24829
GE011215_11	24390
GE011215_11_rep	24355
NA021015_02.1	23397
NA021015_03.1	23136
NA021015_06.1	24134
NA021015_08.1	22607
NA021015_09.1	24250
NA021015_10.1	24035
NA021015_13.1	23620
NA021015_14.1	24111
NA021015_16.1	24039
NA021015_17.1	24114
NA021015_21.1	23925
NA021015_22.1	23845
NA021015_23	24124
NA021015_25	24467
NA021015_26	24445
NA021015_30	24308
NA021015_06_2	24662
NA021015_09_2	24878
NA021015_10_2	24333
YS_121316_01	24425
YS_121316_03	24005
YS_121316_05	24229
YS_121316_13	24323
YS_121316_17	24298
YS_121316_18	23709
YS_121316_20.1	24393
YS_121316_21	24449
YS_121316_22	24360
YS_121316_23	24357
YS_121316_24	24431
YS_121316_25	24221
YS_121316_26	24005
YS_121316_27	23023
YS_121316_28	22672
YS_121316_29	21554
YS121315_08.1	23637
YS121315_10.1	21602
YS121315_12	24294
YS121315_12_300	23666
YS121315_14.1	24139
YS121315_15	24115
YS121315_16	24379
YS121316_30	24213
YS_121316_04	21240
YS_121316_19	18461
YS_121316_21_2	24492
YS_121316_20_2	24501
YS121315_14_2	24446
YS_121316_07	23856
JUK07_01	23200
JUK07_02.1	24460
JUK07_02_rep.1	24288
JUK07_03	23423
JUK07_06.1	24503
JUK07_09.1	24356
JUK07_09_rep.1	24383
JUK07_14	23332
JUK07_15	24114
JUK07_16.1	24301
JUK07_16_rep.1	24289
JUK07_17	21895
JUK07_18	23444
JUK07_19	23737
JUK07_20	23104
JUK07_22	22458
JUK07_25	20409
JUK07_26	23731
JUK07_27	23788
JUK07_28	21794
JUK07_29.1	24336
JUK07_30	24212
JUK07_32	24244
JUK07_36.1	24216
JUK07_37.1	24287
JUK07_10	17796
JUK07_13	23135
JUK07_21	23078
JUK07_23	24250
JUK07_34	23720
JUK07_04	23487
JUK07_12	16998
JUK07_31	24302
JUK07_11	23701
JUK07_06_2	24417
JUK07_08	24229
JUK07_33	24182
JB121807_01	23785
JB121807_03.1	23712
JB121807_04.1	13033
JB121807_05	19016
JB121807_06.1	23977
JB121807_07.1	0
JB121807_08	24082
JB121807_08_rep	23875
JB121807_09.1	11379
JB121807_11.1	24368
JB121807_12.1	17140
JB121807_14.1	22055
JB121807_16.1	15277
JB121807_19.1	23614
JB121807_20.1	23318
JB121807_21.1	21534
JB121807_23	15125
JB121807_24.1	23295
JB121807_25	18157
JB121807_27	18236
JB121807_28.1	21863
JB121807_30	19284
JB121807_31.1	22864
JB121807_32.1	22372
JB121807_33.1	22166
JB121807_34.1	23579
JB121807_35	8465
JB121807_37	23336
JB121807_38.1	22224
JB121807_41.1	16160
JB121807_42	20913
JB121807_44	23899
JB121807_45.1	11564
JB121807_46	22607
JB121807_47	4803
JB121807_48.1	16430
JB121807_10_c	2158
JB121807_13_c	13702
JB121807_22_c	18732
JB121807_26_c	20973
JB121807_36_c	9048
JB121807_39	24218
JB121807_03_rep	24056
JB121807_05_2	24081
JB121807_35_2	20222
JB121807_47_2	14017
JB121807_23_2	22035
JB121807_27_2	23439
JB121807_30_2	23690
JB121807_16_2	24156
JB121807_18	23658
JB121807_43	24055
JB121807_29	22638
JB021108_01.1	12517
JB021108_02.1	22606
JB021108_04.1	19308
JB021108_05	24583
JB021108_05_rep	24586
JB021108_06	23747
JB021108_07.1	23433
JB021108_08.1	19843
JB021108_09.1	23021
JB021108_10.1	12690
JB021108_11	3960
JB021108_12.1	24062
JB021108_13.1	23417
JB021108_14	13991
JB021108_16	24321
JB021108_17.1	23752
JB021108_19.1	23517
JB021108_20	19755
JB021108_22.1	20337
JB021108_25.1	16140
JB021108_26.1	22608
JB021108_28	13340
JB021108_29	20574
JB021108_30	24389
JB021108_31.1	10555
JB021108_32	24510
JB021108_33	10715
JB021108_34	21439
JB021108_35	19452
JB021108_35_rep	20303
JB021108_36.1	24027
JB021108_36_rep.1	23952
JB021108_37.1	24005
JB021108_37_rep.1	24005
JB021108_38.1	17716
JB021108_39	21665
JB021108_40	8910
JB021108_41.1	20383
JB021108_44.1	24150
JB021108_45	24188
JB021108_46.1	24394
JB021108_46_rep.1	24241
JB021108_47.1	24298
JB021108_48.1	23248
JB021108_21_c	12070
JB021108_27_c	1949
JB021108_24_c	20789
JB021108_33_rep	24023
JB021108_11_2	23432
JB021108_28_2	16769
JB021108_40_2	21230
JB021108_14_2	22340
JB021108_25_2	19896
JB021108_31_2	22465
JB021108_23	21740
JB021108_11_rep	16073
BOR07_01	18223
BOR07_02.1	24308
BOR07_03	23216
BOR07_04	24371
BOR07_05.1	24333
BOR07_06.1	24168
BOR07_07.1	24465
BOR07_08.1	24339
BOR07_09	24285
BOR07_10.1	24062
BOR07_11.1	24423
BOR07_12.1	24053
BOR07_13.1	24386
BOR07_14	24464
BOR07_15	24377
BOR07_16	24182
BOR07_17.1	24055
BOR07_18	24280
BOR07_19.1	22569
BOR07_20.1	24442
BOR07_21.1	17663
BOR07_22	24355
BOR07_01_2	23980
BOR07_21_2	23958
GEO020414_10	21707
GEO020414_11	24492
GEO020414_11_300	24279
GEO020414_13	7
GEO020414_13_300	23709
GEO020414_14	24254
GEO020414_14_300	23939
GEO020414_15	23200
GEO020414_15_300	22297
GEO020414_16	24300
GEO020414_16_300	23960
GEO020414_17	24286
GEO020414_17_300	23593
GEO020414_2	23708
GEO020414_23	24517
GEO020414_23_300	24380
GEO020414_24	24435
GEO020414_24_300	24107
GEO020414_25	24204
GEO020414_25_300	23093
GEO020414_26	23483
GEO020414_27	24053
GEO020414_29	23071
GEO020414_3	24021
GEO020414_30	20307
GEO020414_4	24267
GEO020414_5	24034
GEO020414_6	23296
GEO020414_7	24308
GEO020414_8	24437
GEO020414_8_300	24321
GEO020414_9	24226
GEO020414_9_300	23765
GEO020414_10_2	24180
GEO020414_30_2	23348
GEO020414_13_2	23986
