sample	n_missing_genos	avg_locus_depth
KOD03_035	1342	41.2953586498
KOD03_051	1342	20.6180904523
KOD03_052	1342	51.1913043478
KOD03_053	1478	14.1139240506
KOD03_054	1337	29.3829787234
KOD03_055	1336	56.4453441296
KOD03_056	1345	17.320754717
KOD03_057	1334	183.129554656
KOD03_058	1338	22.4926108374
KOD03_059	1414	16.1844660194
KOD03_060	1462	14.8813559322
KOD03_061	1333	84.1506276151
KOD03_062	1510	14.2537313433
KOD03_063	1337	37.4915254237
KOD03_064	1335	172.624489796
KOD03_065	1335	69.6951219512
KOD03_066	1338	94.7231404959
KOD03_067	1335	123.911290323
KOD03_068	1403	17.0204081633
KOD03_069	1339	34.0686695279
KOD03_070	1376	15.6956521739
KOD03_071	1335	87.9752066116
KOD03_072	1384	15.4112903226
KOD03_073	1412	13.8453608247
KOD03_074	1337	40.1715481172
KOD03_075	1379	17.4084507042
KOD03_076	1342	28.295154185
KOD03_077	1348	21.0846560847
KOD03_078	1333	90.1176470588
KOD03_079	1386	17.336
KOD03_080	1380	15.2
KOD03_081	1335	86.7704918033
KOD03_082	1336	64.5762711864
KOD03_083	1345	22.2994652406
KOD03_084	1335	57.4041666667
KOD03_085	1336	43.4085106383
KOD03_086	1353	18.3597883598
KOD03_087	1738	12.4583333333
KOD03_088	1576	13.6444444444
KOD03_089	1334	61.7637795276
KOD03_090	1336	35.9953917051
KOD03_091	1505	14.8545454545
KOD03_092	1829	14.2424242424
KOD03_093	1340	26.0845070423
KOD03_094	1404	15.7857142857
KOD03_095	1373	16.2949640288
KOD03_096	1337	44.6153846154
KOD03_097	1345	18.287804878
AD06_001	1572	77.2936344969
AD06_002	1759	11.649122807
AD06_003	1572	29.2916666667
AD06_004	1569	37.8508403361
AD06_005	1690	12.7878787879
AD06_006	1573	25.8548752834
AD06_007	1571	30.1926406926
AD06_008	1571	68.2154811715
AD06_009	1588	16.7151335312
AD06_010	1603	15.019379845
AD06_011	1575	57.6048879837
AD06_012	1606	14.1912568306
AD06_013	1582	17.5982905983
AD06_014	1644	13.5735294118
AD06_015	1667	12.8282208589
AD06_016	1633	13.5
AD06_017	1569	85.0
AD06_018	1570	54.3762993763
AD06_019	1582	16.1172413793
AD06_020	1577	26.0731182796
AD06_021	1570	22.1235431235
AD06_022	1723	12.8214285714
AD06_023	1574	23.3084337349
AD06_024	1664	12.4074074074
AD06_025	1571	32.4572025052
AD06_026	1661	13.8109243697
AD06_027	1629	13.231292517
AD06_028	1669	12.902173913
AD06_029	1569	36.7625
AD06_030	1570	52.2020833333
AD06_031	1882	11.137254902
AD06_032	1574	25.4101995565
AD06_033	1618	14.1085714286
AD06_034	1717	12.7123287671
AD06_035	1571	35.6498951782
AD06_036	1569	58.9290187891
AD06_037	1578	17.0185185185
AD06_038	1577	15.9151943463
AD06_039	1622	13.6283783784
AD06_040	1570	30.1076923077
AD06_041	1570	43.04375
AD06_042	1571	21.6773333333
AD06_043	1676	12.9380530973
AD06_044	1572	57.6489361702
AD06_045	1572	29.1047008547
AD06_046	1575	24.6435185185
AD06_047	1572	30.1447084233
AD06_048	1569	55.2096436059
WC05_001	1491	27.8687664042
WC05_002	1496	23.2764705882
WC05_003	1489	33.6580310881
WC05_004	1534	15.16
WC05_005	1502	20.6779661017
WC05_006	1491	36.1023017903
WC05_007	1533	14.4971751412
WC05_008	1489	146.9375
WC05_009	1496	25.9568965517
WC05_010	1511	17.1313131313
WC05_011	1662	13.368852459
WC05_012	1492	47.547979798
WC05_013	1591	14.2666666667
WC05_014	1492	37.1842105263
WC05_015	1490	159.305764411
WC05_016	1491	92.3576826196
WC05_017	1491	55.5012406948
WC05_018	1489	112.174242424
WC05_019	1535	16.8666666667
WC05_020	1619	14.7727272727
WC05_021	1501	19.7218309859
WC05_022	1489	91.4205128205
WC05_023	1494	19.8493975904
WC05_024	1550	13.7191780822
WC05_025	1491	48.5856777494
WC05_026	1542	15.6071428571
WC05_027	1512	16.6325581395
WC05_028	1596	14.6328125
WC05_029	1489	96.9875
WC05_030	1541	15.4545454545
WC05_031	1491	20.8872403561
WC05_032	1491	54.8244274809
WC05_033	1492	35.5835543767
WC05_034	1495	21.7192982456
WC05_035	1490	38.325
WC05_036	1493	22.3434903047
WC05_037	1509	21.5676470588
WC05_038	1858	11.275862069
WC05_039	1684	13.04
WC05_040	1490	109.873417722
WC05_041	1493	31.7342105263
WC05_042	1599	14.5930232558
WC05_043	1768	12.2280701754
WC05_044	1497	20.5263157895
WC05_045	1608	14.0594059406
WC05_046	1549	15.7832167832
WC05_047	1501	21.214673913
WC05_048	1494	19.4065281899
HS04_001	1301	33.8645833333
HS04_002	1315	19.2838709677
HS04_003	1303	45.8028846154
HS04_004	1386	15.2117647059
HS04_005	1300	30.9633507853
HS04_006	1298	77.2524752475
HS04_007	1314	16.5917159763
HS04_008	1300	94.6231884058
HS04_009	1306	23.0125
HS04_010	1521	16.0909090909
HS04_011	1753	11.1034482759
HS04_012	1299	51.8792270531
HS04_013	1468	13.4225352113
HS04_014	1299	55.7053140097
HS04_015	1300	159.746411483
HS04_016	1302	143.919811321
HS04_017	1300	134.175115207
HS04_018	1300	85.4797979798
HS04_019	1350	17.1142857143
HS04_020	1300	49.6341463415
HS04_021	1324	17.9923664122
HS04_022	1298	88.3980582524
HS04_023	1319	17.176056338
HS04_024	1308	16.8497109827
HS04_025	1302	35.4228855721
HS04_026	1484	13.5641025641
HS04_027	1306	32.255
HS04_028	1357	15.6542056075
HS04_029	1299	65.1571428571
HS04_030	1433	13.8918918919
HS04_031	1308	20.4329268293
HS04_032	1299	89.0384615385
HS04_033	1301	44.4333333333
HS04_034	1325	19.811023622
HS04_035	1302	30.9711538462
